accuracy,precision,recall,f1,fpr,fnr,confusion_matrix,missed_laundering,total_laundering,total_legitimate,roc_auc,strategy
0.9543,0.555658,0.583575,0.569274,0.025468,0.416425,"{'tp': 604, 'tn': 18482, 'fp': 483, 'fn': 431}",431,1035,18965,,current_staged_40_75_40
0.92045,0.370938,0.771981,0.501098,0.071447,0.228019,"{'tp': 799, 'tn': 17610, 'fp': 1355, 'fn': 236}",236,1035,18965,,ensemble_max_40
0.9148,0.356005,0.799034,0.492555,0.078882,0.200966,"{'tp': 827, 'tn': 17469, 'fp': 1496, 'fn': 208}",208,1035,18965,,ensemble_max_35
0.93545,0.418367,0.633816,0.504034,0.048089,0.366184,"{'tp': 656, 'tn': 18053, 'fp': 912, 'fn': 379}",379,1035,18965,,baseline_only_40
0.9393,0.446503,0.721739,0.551699,0.048827,0.278261,"{'tp': 747, 'tn': 18039, 'fp': 926, 'fn': 288}",288,1035,18965,,enhanced_only_40
